"Average Difficulty Rating","Number of Favorites","Free","name","Average Rating","Yarn Weight","Knitting Needle Size","crochet_hook","knit_needles","crochet_hook_size","Craft","Pattern Category","Pattern Parent Category","Pattern Grandparent Category","pull_date","Number of Languages","pull_day","Number of Top 20 Appearances"
0,454,"Paid","Santas look socks",0,"",NA,NA,NA,NA,"Knitting","Chart","Components","Categories","2025-11-18",2,18,1
0,562,"Free","In My Stripes Era Scarf",0,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-17",2,17,1
0,201,"Free","Magiclands Wrap",0,"Fingering (14 wpi)","5",FALSE,TRUE,"F","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-17",2,17,1
0,222,"Paid","Self Striping Spectrum Beanie",0,"Bulky (7 wpi)","11",FALSE,TRUE,"L","Knitting","Beanie, Toque","Hat","Accessories","2025-11-17",1,17,1
0,140,"Paid","Grande Neck Warmer",0,"Bulky (7 wpi)","10",FALSE,TRUE,"J","Knitting","Other","Neck / Torso","Accessories","2025-11-17",1,17,1
3.66666666666667,885,"Free","Palma Socks",4.66666666666667,"Light Fingering","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-17",3,17,1
0,5863,"Free","Harvest Flower Sweater",0,"DK (11 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17,2
0,539,"Paid","Reversible Neck",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17,1
0,1132,"Free","Winter subway",0,"Aran (8 wpi)","8",FALSE,TRUE,"H","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17,2
0,2526,"Paid","Pocket Edition",0,"Sport (12 wpi)","4",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17,2
0,4158,"Free","Hannah Sweater V-neck",0,"Worsted (9 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-16",18,16,1
0,189,"Paid","Everyday mittens / Codzienne mitenki",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Convertible","Hands","Accessories","2025-11-16",4,16,1
0,1084,"Free","TONI Vest",0,"DK (11 wpi)","6",FALSE,TRUE,"G","Knitting","Vest","Clothing","Categories","2025-11-16",4,16,1
3.75,657,"Free","Mia mittens",4.66666666666667,"Aran (8 wpi)","4",FALSE,TRUE,"E","Knitting","Mittens","Hands","Accessories","2025-11-16",1,16,1
0,1673,"Free","Hakuba Hooded Scarf",0,"Bulky (7 wpi)","10.5",FALSE,TRUE,"K","Knitting","Balaclava","Hat","Accessories","2025-11-16",1,16,1
