"Average_Difficulty_Rating","Number_of_Favorites","Free","name","Average_Rating","Yarn_Weight","Knitting_Needle_Size","crochet_hook","knit_needles","crochet_hook_size","Craft","Pattern_Category","Pattern_Parent_Category","Pattern_Grandparent_Category","pull_date","Number_of_Languages","pull_day","Number_of_Top_20_Appearances"
2.5,28802,"Paid","Sailor Slippers",4.9,"Super Bulky (5-6 wpi)","11",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-25",1,25,9
5,33716,"Paid","Rosie Sweater",4.7,"DK (11 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-25",10,25,9
2.3,68738,"Free","Step by Step Sweater",4.9,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25,9
2.2,4109,"Paid","One Love Mystery Shawl",4.3,"Fingering (14 wpi)","7",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-25",1,25,9
2.5,79391,"Paid","Musselburgh",4.9,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",6,25,5
2.4,63742,"Paid","Oslo Hat",4.7,"DK (11 wpi)","2.5",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",10,25,9
1.9,71646,"Paid","Sophie Scarf",4.8,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",17,25,9
2.2,33641,"Free","The Simple Thing",4.8,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",4,25,4
3.5,117155,"Paid","Ranunculus",4.8,"","10",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-25",4,25,7
4.3,123,"Paid","Fluffy MARTA Vest",5,"Super Bulky (5-6 wpi)","10",FALSE,TRUE,"J","Knitting","Vest","Clothing","Categories","2025-11-24",3,24,1
3,5216,"Paid","Moon Set Polo",5,"Worsted (9 wpi)","9",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-24",14,24,1
0,933,"Paid","Humpy the humpback whale",0,"DK (11 wpi)","1.5",FALSE,TRUE,"","Knitting","Animal","Softies","Toys and Hobbies","2025-11-24",1,24,2
0,411,"Free","Mistletoe Socks",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-24",4,24,1
0,207,"Paid","Icy brides",0,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Other","Neck / Torso","Accessories","2025-11-24",1,24,1
3,533,"Paid","Let It Snow sock set",5,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-23",6,23,1
3,1460,"Paid","Lite Bright Loop",5,"Any gauge - designed for any gauge","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",4,23,2
0,379,"Paid","Poppy Time Scarf",0,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",1,23,1
1.9,44399,"Paid","Sophie Shawl",4.8,"DK (11 wpi)","8",FALSE,TRUE,"H","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-23",13,23,1
3.4,21916,"Paid","Hoodola: A Basic Hooded Cowl",4.8,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-23",6,23,1
0,241,"Paid","Elderwild",0,"Worsted (9 wpi)","9",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-21",1,21,1
0,217,"Free","Ezra Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-21",1,21,1
0,907,"Paid","Jilli Jam",0,"Super Bulky (5-6 wpi)",NA,FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-21",12,21,1
4.9,523,"Paid","Henna",5,"Fingering (14 wpi)","3",FALSE,TRUE,"D","Knitting","Pullover","Sweater","Clothing","2025-11-21",2,21,1
0,2629,"Paid","Polar Coat Adult",0,"Super Bulky (5-6 wpi)","7",FALSE,TRUE,"","Knitting","Coat / Jacket","Clothing","Categories","2025-11-21",3,21,1
0,83,"Paid","Kindled Hearth",0,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Afghan block","Components","Categories","2025-11-21",1,21,1
0,358,"Paid","Sole Mates",0,"Light Fingering","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-21",1,21,1
0,675,"Paid","Intangential (Advent Mystery Shawl KAL 2025)",0,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-21",1,21,4
0,132,"Paid","Aeterna",0,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-20",2,20,1
0,815,"Paid","Mae Scarf",0,"Any gauge - designed for any gauge","2.5",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-20",8,20,2
0,684,"Free","Winter Lights Blanket",0,"DK (11 wpi)","6",TRUE,FALSE,"G","Crochet","Bedspread","Blanket","Home","2025-11-20",1,20,1
0,225,"Free","Eclosion",0,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-20",4,20,1
0,245,"Paid","The Mighty Squoosh Cowl",0,"Super Bulky (5-6 wpi)","10",FALSE,TRUE,"J","Knitting","Cowl","Neck / Torso","Accessories","2025-11-20",4,20,1
0,886,"Free","Gnoming Socks",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-20",1,20,1
0,636,"Paid","Balaclava Pearl",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Balaclava","Hat","Accessories","2025-11-20",2,20,2
0,1501,"Paid","Shorty Sock Set Vol. III",0,"Light Fingering","1",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-19",2,19,3
0,729,"Paid","Zoe Loop Sweater",0,"Worsted (9 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-19",12,19,1
0,255,"Paid","Advent Hat 2025",0,"Fingering (14 wpi)","2",FALSE,TRUE,"C","Knitting","Beanie, Toque","Hat","Accessories","2025-11-19",2,19,1
0,462,"Free","Flynn Creek Mittens",0,"Worsted (9 wpi)","5",FALSE,TRUE,"F","Knitting","Mittens","Hands","Accessories","2025-11-19",2,19,1
1.8,3759,"Paid","knitpurl beanie",4.7,"DK (11 wpi)","3",FALSE,TRUE,"D","Knitting","Beanie, Toque","Hat","Accessories","2025-11-19",1,19,1
4,635,"Paid","Fully Invested",5,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Vest","Clothing","Categories","2025-11-19",2,19,1
3.3,763,"Paid","Logamancy (Advent Mystery Shawl KAL 2024)",4.8,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-19",2,19,2
2.5,1190,"Paid","Logpile (Advent Mystery Shawl KAL 2023)",4.7,"Light Fingering","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-19",2,19,1
0,179,"Paid","Maroon Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18,1
0,374,"Paid","Manly Beanie",0,"Sport (12 wpi)","3",FALSE,TRUE,"D","Knitting","Beanie, Toque","Hat","Accessories","2025-11-18",1,18,1
0,323,"Paid","Hyde Park Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18,1
0,198,"Free","Kõuvõ",0,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",2,18,1
0,164,"Free","Broken Rib Cowl",0,"Bulky (7 wpi)","8",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",4,18,1
0,249,"Paid","A Place Between",0,"Sport (12 wpi)","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",1,18,1
0,1135,"Paid","Oribus Fingerless Mitts",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Fingerless Gloves/Mitts","Hands","Accessories","2025-11-18",1,18,3
5,1444,"Paid","Flowing River Cowl",4.9,"Sport (12 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",1,18,1
0,454,"Free","Santas look socks",0,"",NA,NA,NA,NA,"Knitting","Chart","Components","Categories","2025-11-18",2,18,1
0,562,"Paid","In My Stripes Era Scarf",0,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-17",2,17,1
0,201,"Paid","Magiclands Wrap",0,"Fingering (14 wpi)","5",FALSE,TRUE,"F","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-17",2,17,1
0,222,"Free","Self Striping Spectrum Beanie",0,"Bulky (7 wpi)","11",FALSE,TRUE,"L","Knitting","Beanie, Toque","Hat","Accessories","2025-11-17",1,17,1
0,140,"Free","Grande Neck Warmer",0,"Bulky (7 wpi)","10",FALSE,TRUE,"J","Knitting","Other","Neck / Torso","Accessories","2025-11-17",1,17,1
3.7,885,"Paid","Palma Socks",4.7,"Light Fingering","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-17",3,17,1
0,5863,"Paid","Harvest Flower Sweater",0,"DK (11 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17,2
0,539,"Free","Reversible Neck",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17,1
0,1132,"Paid","Winter subway",0,"Aran (8 wpi)","8",FALSE,TRUE,"H","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17,2
0,2526,"Free","Pocket Edition",0,"Sport (12 wpi)","4",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17,2
0,4158,"Paid","Hannah Sweater V-neck",0,"Worsted (9 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-16",18,16,1
0,189,"Free","Everyday mittens / Codzienne mitenki",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Convertible","Hands","Accessories","2025-11-16",4,16,1
0,1084,"Paid","TONI Vest",0,"DK (11 wpi)","6",FALSE,TRUE,"G","Knitting","Vest","Clothing","Categories","2025-11-16",4,16,1
3.8,657,"Paid","Mia mittens",4.7,"Aran (8 wpi)","4",FALSE,TRUE,"E","Knitting","Mittens","Hands","Accessories","2025-11-16",1,16,1
0,1673,"Paid","Hakuba Hooded Scarf",0,"Bulky (7 wpi)","10.5",FALSE,TRUE,"K","Knitting","Balaclava","Hat","Accessories","2025-11-16",1,16,1
